trip_id,start_time,end_time,usertype,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,gender,birthyear,day_of_week,ride_length_minutes
21901680,2019-02-09 14:22:34.000000 UTC,2019-02-09 14:36:44.000000 UTC,Customer,716,850.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Female,1995,7,14
21901676,2019-02-09 14:20:53.000000 UTC,2019-02-09 14:36:29.000000 UTC,Customer,1442,936.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),Female,1994,7,15
22022472,2019-03-10 13:54:14.000000 UTC,2019-03-10 14:24:52.000000 UTC,Customer,6200,1838.0,3,Shedd Aquarium,2,Buckingham Fountain (Temp),,,1,30
21930715,2019-02-16 16:00:38.000000 UTC,2019-02-16 16:31:29.000000 UTC,Customer,4896,1851.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,30
21930713,2019-02-16 16:00:08.000000 UTC,2019-02-16 16:31:14.000000 UTC,Customer,1157,1866.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,31
21930726,2019-02-16 16:02:14.000000 UTC,2019-02-16 16:31:57.000000 UTC,Customer,4554,1783.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,29
21930715,2019-02-16 16:00:38.000000 UTC,2019-02-16 16:31:29.000000 UTC,Customer,4896,1851.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,30
21930723,2019-02-16 16:01:50.000000 UTC,2019-02-16 16:31:38.000000 UTC,Customer,2030,1788.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,29
21930723,2019-02-16 16:01:50.000000 UTC,2019-02-16 16:31:38.000000 UTC,Customer,2030,1788.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,29
21930719,2019-02-16 16:01:18.000000 UTC,2019-02-16 16:31:37.000000 UTC,Customer,2739,1819.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,30
21930719,2019-02-16 16:01:18.000000 UTC,2019-02-16 16:31:37.000000 UTC,Customer,2739,1819.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,30
22036555,2019-03-12 16:10:31.000000 UTC,2019-03-12 16:19:00.000000 UTC,Subscriber,6229,509.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Male,1979,3,8
21930711,2019-02-16 15:59:58.000000 UTC,2019-02-16 16:32:06.000000 UTC,Customer,679,1928.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,32
21930726,2019-02-16 16:02:14.000000 UTC,2019-02-16 16:31:57.000000 UTC,Customer,4554,1783.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,29
21930713,2019-02-16 16:00:08.000000 UTC,2019-02-16 16:31:14.000000 UTC,Customer,1157,1866.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,31
22036555,2019-03-12 16:10:31.000000 UTC,2019-03-12 16:19:00.000000 UTC,Subscriber,6229,509.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),Male,1979,3,8
21930711,2019-02-16 15:59:58.000000 UTC,2019-02-16 16:32:06.000000 UTC,Customer,679,1928.0,4,Burnham Harbor,2,Buckingham Fountain (Temp),,,7,32
22066387,2019-03-16 16:28:54.000000 UTC,2019-03-16 16:50:22.000000 UTC,Customer,4352,1288.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,21
22166434,2019-03-29 14:18:35.000000 UTC,2019-03-29 15:06:35.000000 UTC,Customer,1707,2880.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Male,1986,6,48
22066376,2019-03-16 16:28:19.000000 UTC,2019-03-16 16:50:22.000000 UTC,Customer,2928,1323.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,22
22066375,2019-03-16 16:28:15.000000 UTC,2019-03-16 16:50:22.000000 UTC,Customer,1218,1327.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,22
22066378,2019-03-16 16:28:24.000000 UTC,2019-03-16 16:50:40.000000 UTC,Customer,3752,1336.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,22
22166478,2019-03-29 14:25:09.000000 UTC,2019-03-29 15:07:13.000000 UTC,Customer,3521,2524.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Female,1986,6,42
22066376,2019-03-16 16:28:19.000000 UTC,2019-03-16 16:50:22.000000 UTC,Customer,2928,1323.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,22
21783217,2019-01-08 12:45:29.000000 UTC,2019-01-08 13:04:36.000000 UTC,Customer,5612,1147.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Female,1999,3,19
22166478,2019-03-29 14:25:09.000000 UTC,2019-03-29 15:07:13.000000 UTC,Customer,3521,2524.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Female,1986,6,42
21783217,2019-01-08 12:45:29.000000 UTC,2019-01-08 13:04:36.000000 UTC,Customer,5612,1147.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),Female,1999,3,19
22066387,2019-03-16 16:28:54.000000 UTC,2019-03-16 16:50:22.000000 UTC,Customer,4352,1288.0,6,Dusable Harbor,2,Buckingham Fountain (Temp),,,7,21
